mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
411107101.0,2014,411107103.0,2003.0,11.0,1.0,1.0,2.0,1.0,6.0,2014.0,1976.0,38.0,0.0,,0.0,15.0,,2014.0
411137431.0,2014,411137104.0,2004.0,10.0,0.0,1.0,1.0,1.0,6.0,2014.0,1982.0,32.0,0.0,,0.0,9.0,,2014.0
411141101.0,2014,411141103.0,2000.0,14.0,0.0,1.0,2.0,1.0,9.0,2014.0,1974.0,40.0,0.0,,0.0,9.0,,2014.0
411147104.0,2014,411147105.0,1999.0,15.0,1.0,1.0,4.0,1.0,9.0,2014.0,1973.0,41.0,0.0,,0.0,9.0,,2014.0
411148101.0,2014,411148104.0,2002.0,12.0,1.0,5.0,,,,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
411152102.0,2014,411152103.0,2001.0,13.0,0.0,1.0,3.0,1.0,7.0,2014.0,1977.0,37.0,0.0,,0.0,0.0,,2014.0
411169104.0,2014,411169105.0,2004.0,10.0,0.0,1.0,4.0,1.0,3.0,2014.0,1980.0,34.0,0.0,,0.0,6.0,,2014.0
411216104.0,2014,411216105.0,2000.0,14.0,1.0,1.0,2.0,,8.0,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
411235101.0,2014,411235103.0,2002.0,12.0,1.0,1.0,2.0,1.0,6.0,2014.0,1981.0,33.0,0.0,,0.0,16.0,,2014.0
411250101.0,2014,411250104.0,2002.0,12.0,0.0,1.0,2.0,1.0,6.0,2014.0,1977.0,37.0,0.0,,0.0,9.0,,2014.0
411274101.0,2014,411274103.0,2001.0,13.0,1.0,1.0,2.0,1.0,7.0,2014.0,1975.0,39.0,0.0,,0.0,12.0,,2014.0
411284103.0,2014,411284105.0,2002.0,12.0,0.0,1.0,3.0,1.0,6.0,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
411289104.0,2014,411289105.0,2004.0,10.0,1.0,1.0,2.0,,6.0,2014.0,1980.0,34.0,0.0,,0.0,6.0,,2014.0
411292105.0,2014,411292106.0,2004.0,10.0,1.0,1.0,2.0,1.0,5.0,2014.0,1980.0,34.0,0.0,,0.0,12.0,,2014.0
